Date,Open,High,Low,Close,Adj Close,Volume
19891005,230.899994,232.850006,229.774994,231.740005,231.740005,302180000
19891006,231.740005,234.880005,231.740005,234.404999,234.404999,311980000
19891009,234.404999,236.979996,233.214996,236.785004,236.785004,168540000
19891010,236.785004,238.845001,234.979996,236.085007,236.085007,273920000
19891011,236.085007,236.085007,233.574997,235.085007,235.085007,266020000
19891012,235.085007,236.000000,234.345001,234.544998,234.544998,261920000
19891013,234.544998,235.529999,224.514999,224.664993,224.664993,335420000
19891016,224.664993,225.029999,213.604996,224.945007,224.945007,485680000
19891017,224.945007,225.865005,220.429993,224.244995,224.244995,322940000
19891018,224.244995,226.570007,222.494995,226.524994,226.524994,295300000
19891019,226.524994,231.860001,226.524994,231.529999,231.529999,346920000
19891020,231.529999,231.649994,229.220001,231.050003,231.050003,316320000
19891023,231.050003,231.649994,228.214996,228.759995,228.759995,234360000
19891024,228.759995,228.759995,223.264999,226.175003,226.175003,304960000
19891025,226.175003,228.110001,225.925003,226.115005,226.115005,264240000
19891026,226.115005,226.115005,221.990005,222.054993,222.054993,257460000
19891027,222.054993,222.684998,217.214996,218.839996,218.839996,265580000
19891030,218.839996,220.529999,217.755005,219.074997,219.074997,202140000
19891031,219.074997,223.119995,219.074997,222.615005,222.615005,256040000
19891101,222.615005,224.100006,222.014999,223.309998,223.309998,237240000
19891102,223.309998,223.309998,218.389999,219.449997,219.449997,272000000
19891103,219.449997,220.705002,218.615005,219.054993,219.054993,220940000
19891106,219.054993,219.255005,215.134995,215.184998,215.184998,222160000
19891107,215.184998,217.990005,214.654999,217.649994,217.649994,261100000
19891108,217.649994,221.725006,217.649994,220.369995,220.369995,275800000
19891109,220.369995,221.240005,219.729996,220.649994,220.649994,253580000
19891110,220.649994,223.195007,220.649994,222.529999,222.529999,218100000
19891113,222.529999,223.550003,221.470001,222.755005,222.755005,218400000
19891114,222.755005,223.080002,220.250000,221.369995,221.369995,247540000
19891115,221.369995,222.554993,219.625000,222.345001,222.345001,266020000
19891116,222.345001,222.820007,220.675003,221.699997,221.699997,293280000
19891117,221.699997,223.229996,221.304993,222.630005,222.630005,242780000
19891120,222.630005,223.919998,221.070007,223.414993,223.414993,229840000
19891121,223.414993,224.000000,221.729996,222.759995,222.759995,248460000
19891122,222.759995,224.339996,222.434998,223.625000,223.625000,279540000
19891124,223.630005,225.035004,223.630005,224.835007,224.835007,107340000
19891127,224.835007,225.759995,223.445007,223.645004,223.645004,216360000
19891128,223.645004,224.350006,222.884995,223.585007,223.585007,250680000
19891129,223.585007,223.585007,222.104996,223.494995,223.494995,244020000
19891130,223.494995,224.975006,222.500000,224.445007,224.445007,259200000
19891201,224.445007,226.399994,224.445007,225.315002,225.315002,276940000
19891204,225.315002,226.910004,224.330002,226.720001,226.720001,227560000
19891205,226.720001,227.854996,226.455002,227.304993,227.304993,264040000
19891206,227.304993,227.645004,224.110001,224.154999,224.154999,287900000
19891207,224.154999,225.375000,223.770004,224.764999,224.764999,287960000
19891208,224.764999,225.600006,223.574997,224.024994,224.024994,256280000
19891211,224.024994,224.024994,219.145004,220.264999,220.264999,266780000
19891212,220.264999,220.475006,217.309998,217.804993,217.804993,301080000
19891213,217.804993,219.130005,217.324997,217.910004,217.910004,369320000
19891214,217.910004,217.910004,215.014999,216.354996,216.354996,288520000
19891215,216.354996,217.455002,212.630005,214.139999,214.139999,288780000
19891218,214.139999,215.440002,209.934998,210.850006,210.850006,293400000
19891219,210.850006,211.705002,208.684998,211.184998,211.184998,327260000
19891220,211.184998,213.240005,210.929993,213.235001,213.235001,304860000
